*Slot;Type;*Item;Main Stat;Operator;Sec Stat;Dungeon
Head;Cloth;Mask of Imperishable Leaves;V;>;M;Brackenhide Hollow
Head;Cloth;Cragshaper's Fitted Hood;H;>;C;Neltharion's Lair
Shoulders;Cloth;Molten Magma Mantle;H;>;C;Neltharus
Shoulders;Cloth;Boastful Stalker's Epaulets;V;>;H;Brackenhide Hollow
Shoulders;Cloth;Roggthread Mantle;H;>>;V;Neltharion's Lair
Chest;Cloth;Robe of Plunging Depths;C;>;M;Halls of Infusion
Chest;Cloth;Blood-Drenched Robes;V;>;H;Underrot
Chest;Cloth;Tunic of Smoldering Ire;C;>>;M;Neltharion's Lair
Wrist;Cloth;Lily-Laced Bracelets;V;>;M;Halls of Infusion
Wrist;Cloth;Animated Shackles;C;>;H;Uldaman
Wrist;Cloth;Wristwraps of Twined Morels;V;;C;Underrot
Wrist;Cloth;Silk Cuffs of the Skycap'n;V;;M;Freehold
Wrist;Cloth;Sunfrost Wristwraps;H;>>;C;Neltharion's Lair
Hands;Cloth;Warlord's Cindermitts;M;>;H;Neltharus
Hands;Cloth;Gloves of Staunched Wounds;H;;V;Underrot
Hands;Cloth;Greasy Bacon-Grabbers;V;;C;Freehold
Hands;Cloth;Gloves of the Mountain Conquest;H;>;M;Neltharion's Lair
Waist;Cloth;Flare-Signed Strap;V;>;C;Neltharus
Waist;Cloth;Lost Hero's Waist Wrap;M;>;H;Uldaman
Waist;Cloth;Sailcloth Waistband;C;;H;Freehold
Waist;Cloth;Roggthread Cord;H;>>;V;Neltharion's Lair
Waist;Cloth;Stratosphere Belt;M;>;C;Vortex Pinnacle
Legs;Cloth;Crazed Traveler's Legwraps;H;>;V;Uldaman
Legs;Cloth;Miner's Sturdy Trouser's;C;>;M;Uldaman
Legs;Cloth;Darklight Legwarmers;C;;H;Underrot
Legs;Cloth;Chum-Coated Leggings;M;;C;Freehold
Legs;Cloth;Riverrider Legwraps;M;>;H;Neltharion's Lair
Legs;Cloth;Leggings of Iridescent Clouds;H;>;C;Vortex Pinnacle
Feet;Cloth;Khajin's Hailstone Footwraps;M;>;V;Halls of Infusion
Feet;Cloth;Treads of Restored Order;H;>;V;Halls of Infusion
Feet;Cloth;Ravenous Pursuer's Footwraps;V;>;H;Brackenhide Hollow
Feet;Cloth;Ancient Crosswrapped Sandals;H;>;C;Uldaman
Feet;Cloth;Blood Warder's Moccasins;V;;M;Underrot
Feet;Cloth;Dashing Bilge Rat Shoes;C;;M;Freehold
Feet;Cloth;Offal Galoshes;M;>;V;Neltharion's Lair
Feet;Cloth;Sandals of the Westwind;C;=;M;Vortex Pinnacle
Head;Leather;Vision of Foreshadowed Ends;H;>;M;Uldaman
Head;Leather;Steelgazer Hide Hood;H;>>;V;Neltharion's Lair
Shoulders;Leather;Ancient Hornsword Spaulders;H;>;V;Halls of Infusion
Shoulders;Leather;Shoulder's of Animated Stone;M;>;C;Uldaman
Shoulders;Leather;Steelgazer Hide Mantle;H;>;V;Neltharion's Lair
Shoulders;Leather;Mantle of Bestilled Winds;M;=;H;Vortex Pinnacle
Chest;Leather;Dragonkilm Chestguard;V;>;H;Neltharus
Chest;Leather;Gore-Splattered Vest;H;>;M;Underrot
Chest;Leather;Vest of Rupturing Diamonds;C;>>;V;Neltharion's Lair
Wrist;Leather;Ferocious Hyena Hidebinders;V;>;C;Brackenhide Hollow
Wrist;Leather;Blood Elder's Bindings;C;;M;Underrot
Wrist;Leather;Sea Dog's Cuffs;V;;H;Freehold
Wrist;Leather;Wristbands of Rousing Violence;M;>>;H;Neltharion's Lair
Hands;Leather;Blightweaver's Clutches;C;>;H;Brackenhide Hollow
Hands;Leather;Underrot Grotto Tenders;H;;C;Underrot
Hands;Leather;Sharkhide Grips;M;;V;Freehold
Hands;Leather;Gravelworn Handguards;H;>;C;Neltharion's Lair
Hands;Leather;Gloves of Haze;C;=;M;Vortex Pinnacle
Waist;Leather;Watcher's Clasp of Purpose;V;>;M;Halls of Infusion
Waist;Leather;Troggskin Waistband;C;>;V;Uldaman
Waist;Leather;Bloodfeaster Belt;H;;M;Underrot
Waist;Leather;Sinister Ashfall Cord;C;>>;M;Neltharion's Lair
Legs;Leather;Lavabearer Legwraps;M;>;V;Neltharus
Legs;Leather;Annora's Punctured Leggings;V;>;H;Uldaman
Legs;Leather;Pustule Bearer's Pants;C;;V;Underrot
Legs;Leather;Silver-Trimmed Breeches;M;;H;Freehold
Legs;Leather;Charrskin Legguards;M;>;C;Neltharion's Lair
Feet;Leather;Swoglet Stompers;V;>;M;Halls of Infusion
Feet;Leather;Ancient Rotwalkers;C;>;M;Brackenhide Hollow
Feet;Leather;Treads of the Swift;M;>;C;Uldaman
Feet;Leather;Kragg's Rigging Scalers;C;;M;Freehold
Feet;Leather;Rivermane Sandals;H;>>;C;Neltharion's Lair
Head;Mail;Helm of Hardened Gold;H;>;C;Neltharus
Head;Mail;Amphibian's Bellowing Crown;C;>;M;Halls of Infusion
Head;Mail;Mountain Throne Coif;H;>;V;Neltharion's Lair
Shoulders;Mail;Rooted Shoulder of Putrefaction;H;>;V;Brackenhide Hollow
Shoulders;Mail;Skyhorn Mantle;H;>;C;Neltharion's Lair
Shoulders;Mail;Fallen Snow Shoulderguards;H;>;C;Vortex Pinnacle
Chest;Mail;Emberguard Harness;H;>;M;Neltharus
Chest;Mail;Hauberk of Frozen Fervor;V;>;C;Halls of Infusion
Chest;Mail;Fatebound Chainmail;C;>;V;Uldaman
Chest;Mail;Tunic of Screaming Earth;C;>>;H;Neltharion's Lair
Wrist;Mail;Obsidian-Hardened Wraps;V;>;C;Neltharus
Wrist;Mail;Fierce Boreal Armguards;H;>;M;Uldaman
Wrist;Mail;Raoul's Barrelhook Bracers;H;;V;Freehold
Wrist;Mail;Bitestone Wristwrap;H;>>;V;Neltharion's Lair
Hands;Mail;Torrential Downpour Gauntlets;H;>;V;Halls of Infusion
Hands;Mail;Rock Shoveler's;V;>;H;Uldaman
Hands;Mail;Blood Tick Crushers;C;;V;Underrot
Hands;Mail;Bite-Resistant Chain Gloves;V;;H;Freehold
Hands;Mail;Gauntlets of Innumerable Barbs;M;>>;C;Neltharion's Lair
Waist;Mail;Swollen Bark Clasp;C;>;H;Brackenhide Hollow
Waist;Mail;Gatekeeper's Girdle;C;>;V;Uldaman
Waist;Mail;Waistguard of Sanguine Fervor;H;;V;Underrot
Waist;Mail;Chain-Linked Safety Cord;V;;M;Freehold
Waist;Mail;Boulderbuckle Strap;H;>;M;Neltharion's Lair
Waist;Mail;Hail-Strung Belt;C;>;M;Vortex Pinnacle
Legs;Mail;Tassets of Densified Ooze;M;>;V;Brackenhide Hollow
Legs;Mail;Corpuscular Greaves;H;;C;Underrot
Legs;Mail;Faultline Leggings;C;>;M;Neltharion's Lair
Feet;Mail;Pristine Magma Stompers;C;>;H;Neltharus
Feet;Mail;Warders of the Infested;M;;V;Underrot
Feet;Mail;Shell-Kickers;M;;C;Freehold
Feet;Mail;Bitestone Boots;H;>;V;Neltharion's Lair
Head;Plate;Earthsahker's Steel Visor;M;>;V;Halls of Infusion
Head;Plate;Decay Mother's Wrathful Gaze;V;>;H;Brackenhide Hollow
Head;Plate;Old Seafarer's Headpiece;H;>;C;Uldaman
Head;Plate;Subterranean Horror Faceguard;M;>;H;Neltharion's Lair
Head;Plate;Headcover of Fog;M;>;C;Vortex Pinnacle
Head;Plate;Lunar Halo;C;=;H;Vortex Pinnacle
Shoulders;Plate;Mantle of Crushing Waves;V;>;M;Halls of Infusion
Shoulders;Plate;Pauldrons of Immutable Truth;C;>;H;Uldaman
Shoulders;Plate;Tremorguard Pauldrons;M;>;C;Neltharion's Lair
Chest;Plate;Breastplate of Arterial Protection;C;>;H;Underrot
Chest;Plate;Rockbound Chestguard;H;>;V;Neltharion's Lair
Wrist;Plate;Binders of the Moldering;V;>;H;Brackenhide Hollow
Wrist;Plate;Excavated Earthen Wristlabs;H;>;C;Uldaman
Wrist;Plate;Phosphorescent Armplates;C;;M;Underrot
Wrist;Plate;Concealed Fencing Plates;V;;C;Freehold
Wrist;Plate;Deepfurrow Bracers;C;>;H;Neltharion's Lair
Hands;Plate;Forgemaster's Grips;H;>;V;Neltharus
Hands;Plate;Gauntlets of Incalculable Power;M;>;C;Halls of Infusion
Hands;Plate;Keeper's Iron Grips;C;>;M;Uldaman
Hands;Plate;Sharktooth-Knuckled Grips;V;;H;Freehold
Hands;Plate;Rumblestone Handguards;V;>;H;Neltharion's Lair
Waist;Plate;Ravenous Omnivore's Girdle;C;>;M;Halls of Infusion
Waist;Plate;Trapmaster's Utility Belt;H;>;V;Brackenhide Hollow
Waist;Plate;Zancha's Venerated Greatbelt;M;;V;Underrot
Waist;Plate;Sharkbait Harness Girdle;H;;V;Freehold
Waist;Plate;Greystone Belt;H;>;C;Neltharion's Lair
Legs;Plate;Fural's Blazing Faulds;M;>;H;Neltharus
Legs;Plate;Legplates of Profane Sacrifice;H;;C;Underrot
Legs;Plate;Sharkwater Waders;M;;H;Freehold
Legs;Plate;Rocksolid Legplates;H;>>;M;Neltharion's Lair
Legs;Plate;Legguards of Winnowing Wind;M;>;C;Vortex Pinnacle
Feet;Plate;Pristine Magma Stompers;C;>;H;Neltharus
Feet;Plate;Flourescent Flora Stompers;H;;V;Underrot
Feet;Plate;Rockbound Sabatons;H;>>;V;Neltharion's Lair
Feet;Plate;Darksky Treads;C;=;M;Vortex Pinnacle
